Annotation Cluster 1	Enrichment Score: 7.1424759428589315
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	MHC II	9	7.199999999999999	3.2123223520520175E-14	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	125	17	20581	87.16658823529411	6.834199872685076E-12	6.834199872685076E-12	4.063416270128073E-11
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	9	7.199999999999999	6.532273549215545E-14	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	112	17	16792	79.37394957983193	5.6925131275420426E-11	5.6925131275420426E-11	1.0134115768778429E-10
GOTERM_MF_DIRECT	GO:0032395~MHC class II receptor activity	8	6.4	2.373995706294658E-12	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	110	15	16881	81.84727272727272	6.053674228567729E-10	6.053674228567729E-10	3.093647560348245E-9
UP_SEQ_FEATURE	domain:Ig-like C1-type	9	7.199999999999999	1.2903343786751145E-11	HLA-DQB1, MICB, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	122	32	20063	46.251793032786885	7.161356507801031E-9	7.161356507801031E-9	1.885386291533564E-8
KEGG_PATHWAY	hsa05310:Asthma	9	7.199999999999999	5.852626034408965E-11	HLA-DQB1, HLA-DRB1, HLA-DRB5, MS4A2, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	30	6879	36.205263157894734	6.437892441368831E-9	3.2189462206844155E-9	6.612447256415521E-8
REACTOME_PATHWAY	R-HSA-202430:R-HSA-202430	8	6.4	2.0597152558553945E-10	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	72	22	9075	45.83333333333333	4.757943228295147E-8	2.3789716419031492E-8	2.642470575686673E-7
REACTOME_PATHWAY	R-HSA-202427:R-HSA-202427	8	6.4	5.698677679538189E-10	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	72	25	9075	40.33333333333333	1.3163945766780927E-7	4.387982110998223E-8	7.311003691334861E-7
REACTOME_PATHWAY	R-HSA-389948:R-HSA-389948	8	6.4	7.7500337429626E-10	HLA-DQB1, HLA-DQB2, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DQA1, HLA-DRA	72	26	9075	38.78205128205128	1.7902576820993943E-7	4.4756445105598175E-8	9.942748957492142E-7
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	8	6.4	5.839202477931366E-9	HLA-DQB1, HLA-DRB1, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	33	6879	29.256778309409885	6.423120656462444E-7	2.1410406769728496E-7	6.597276347442005E-6
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	10	8.0	7.539463963445494E-9	HLA-DQB1, HLA-DRB1, LGMN, TAP2, HLA-DRB5, HLA-DPA1, HLA-DQA2, HLA-DOB, HLA-DQA1, HLA-DRA	57	76	6879	15.87950138504155	8.29340692898306E-7	2.073352376452675E-7	8.518274041691143E-6
