Activation of immune system	
GO:2253	RELB 
GO:2253	CLU
GO:2253	CR1
GO:2253	HLA-DRB1
GO:2253	HLA-DRB5
GO:2253	PSMC3
GO:2253	HLA-DQA1
GO:2253	HLA-DRA
GO:2253	HLA-DQB1
GO:2253	C1S
GO:2253	PLEKHA1
GO:2253	TRIM5
GO:2253	CD38 
GO:2253	FAM105B
GO:2253	ARPC1A 
GO:2253	SCARB1 
GO:2253	PRKD2
GO:2253	MICB 
GO:2253	MEF2C
GO:2253	C4B
GO:2253	TRAF3
GO:2253	CD46 
GO:2253	ITGAM
GO:2253	ACTB 
GO:2253	TLR2 
GO:2253	PDE4D
GO:2253	RBCK1
GO:2253	TICAM2 
GO:2253	ARPC1B 
GO:2253	CD14 
GO:2253	EP300
GO:2253	PTPRJ
GO:2253	PYCARD 
GO:2253	PSMC6
GO:2253	REG3G
GO:2253	CR2
GO:2253	FPR2 
GO:2253	LBP
GO:2253	SERPING1
GO:2253	UBE2N
GO:2253	RAC1 
GO:2253	MARCO
GO:2253	YES1 
GO:2253	CD55 
GO:2253	FYN
GO:2253	CHUK 
GO:2253	PDE4B
GO:2253	MYO1C
GO:2253	PSMB9
GO:2253	RFTN1
GO:2253	THY1 
GO:2253	SRC
GO:2253	PTPN6
GO:2253	CFHR5
GO:2253	HAVCR2 
GO:2253	PRKCE
GO:2253	FPR1 
GO:2253	PSMA3
GO:2253	CFB
GO:2253	MASP2
GO:2253	CD19 
GO:2253	COLEC10
GO:2253	C2
GO:2253	PSMB2
GO:2253	PSMC1
GO:2253	PIK3R4 
GO:2253	PTEN 
GO:2253	WIPF1
GO:2253	TRIL 
GO:2253	CUL1 
GO:2253	PLCG2
GO:2253	ADAM8
GO:2253	COLEC12
GO:2253	FCER1G 
GO:2253	LAT
GO:2253	TMEM173
GO:2253	FBXW11 
GO:2253	BCAR1
GO:2253	GATA3
GO:2253	PSMD9
GO:2253	TNIP2
GO:2253	TNFAIP3
GO:2253	SYK
GO:2253	VAV3 
GO:2253	PSMA4
GO:2253	SKAP2
GO:2253	MYD88
GO:2253	ACTR3
GO:2253	C1RL 
GO:2253	MYO1G
GO:2253	SIN3A
GO:2253	C5AR1
GO:2253	PSMB5
GO:2253	GPR33
GO:2253	PIK3CB 
GO:2253	BTN3A1 
GO:2253	PSMB8
GO:2253	C4A
GO:2253	ELMO2
GO:2253	PAK1 
GO:2253	DOCK1
GO:2253	PSME4
GO:2253	ICAM2
GO:2253	MAPKAPK2
GO:2253	IRAK3
GO:2253	CD247
GO:2253	CD79B
GO:2253	FCGR2A 
GO:2253	HMGB1
GO:2253	ARPC5
GO:2253	CLEC7A 
GO:2253	C4BPB
GO:2253	PSMB11 
GO:2253	PSMA2
GO:2253	NCKIPSD
GO:2253	RELA 
GO:2253	LIME1
GO:2253	PSME3
GO:2253	BIRC2
GO:2253	PIK3C3 
GO:2253	PRKCB
GO:2253	CYFIP1 
GO:2253	C4BPA
GO:2253	BIRC3
GO:2253	LY96 
GO:2253	KRT1 
GO:2253	GPR32
GO:2253	TLR6 
GO:2253	RGCC 
GO:2253	TRAT1
GO:2253	BCL10
GO:2253	PLD2 
GO:2253	LYN
GO:2253	CSK
GO:2253	LGMN 
GO:2253	CARD9
GO:2253	SLA2 
GO:2253	HLA-DQB2
GO:2253	KRAS 
