superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
beta-amyloid metabolic process	GO:0050435	biological_process	1382589	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1382589	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	119050335	40059	276365	0		20160507	68	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	119050335	40059	276365	0		20160507	68	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	119050336	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	119050336	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	255513337	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	255513337	40059	276365	0		20140509	307	GSAP	GSAP	UniProtKB	A4D1B5	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1477032	27630	300016	0		20160507	68	REN	REN	UniProtKB	P00797	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208474981	27630	300016	0		20160507	68	REN	REN	UniProtKB	P00797	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482578	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482578	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482579	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482579	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482580	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1482580	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489985	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489985	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489986	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489986	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489987	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208489987	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415158	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415158	40059	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415159	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415159	40471	300222	0		20140404	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415160	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256415160	40471	300222	0		20140509	5	APOE	APOE	UniProtKB	P02649	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1494770	27630	300603	0		20120126	307	MME	MME	UniProtKB	P08473	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208542581	27630	300603	0		20160507	68	MME	MME	UniProtKB	P08473	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208542582	27630	300603	0		20120126	307	MME	MME	UniProtKB	P08473	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	256428057	27630	300603	0		20120126	307	MME	MME	UniProtKB	P08473	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501739	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501739	40059	301002	0		20140515	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501741	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501741	40471	301002	0		20140410	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501742	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	1501742	40471	301002	0		20140326	5	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
beta-amyloid metabolic process	GO:0050435	biological_process	208648363	40059	301002	0		20160507	68	CLU	CLU	UniProtKB	P10909	Homo	sapiens	9606	human
