superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
cholesterol metabolic process	GO:0008203	biological_process	1375431	6734	273978	0		20160507	121	SCAP	SCAP	UniProtKB	A0A0A0MTG6	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	28703644	6734	273978	0		20160507	121	SCAP	SCAP	UniProtKB	A0A0A0MTG6	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1376251	17431	274217	0		20160507	68	CYP51A1	CYP51A1	UniProtKB	A0A0C4DFL7	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	38245906	17431	274217	0		20160507	68	CYP51A1	CYP51A1	UniProtKB	A0A0C4DFL7	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1377249	6734	274503	0		20160507	307	INSIG2	INSIG2	UniProtKB	A0A0C4DGZ4	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	38247402	6734	274503	0		20160507	307	INSIG2	INSIG2	UniProtKB	A0A0C4DGZ4	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1392931	6734	279632	0		20160507	121	SCAP	SCAP	UniProtKB	C9JFY0	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	139138667	6734	279632	0		20160507	121	SCAP	SCAP	UniProtKB	C9JFY0	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1394253	6734	280117	0		20160507	121	SCAP	SCAP	UniProtKB	C9JQ35	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	139140541	6734	280117	0		20160507	121	SCAP	SCAP	UniProtKB	C9JQ35	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1394599	6734	280253	0		20160507	121	INSIG1	INSIG1	UniProtKB	C9JSG8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	139141029	6734	280253	0		20160507	121	INSIG1	INSIG1	UniProtKB	C9JSG8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1396573	6734	280978	0		20160507	121	SCAP	SCAP	UniProtKB	D6RA39	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	145600012	6734	280978	0		20160507	121	SCAP	SCAP	UniProtKB	D6RA39	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1410346	6734	285838	0		20160507	68	HNF1A	HNF1A	UniProtKB	F5H0K0	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	159527458	6734	285838	0		20160507	68	HNF1A	HNF1A	UniProtKB	F5H0K0	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1411651	6734	286289	0		20160507	307	INSIG1	INSIG1	UniProtKB	F5H6P3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	159529286	6734	286289	0		20160507	121	INSIG1	INSIG1	UniProtKB	F5H6P3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	159529287	6734	286289	0		20160507	307	INSIG1	INSIG1	UniProtKB	F5H6P3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1414754	6734	287421	0		20160507	121	SCAP	SCAP	UniProtKB	F8W921	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	163167428	6734	287421	0		20160507	121	SCAP	SCAP	UniProtKB	F8W921	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1414895	6734	287463	0		20160507	121	SCAP	SCAP	UniProtKB	F8W9W7	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	163167654	6734	287463	0		20160507	121	SCAP	SCAP	UniProtKB	F8W9W7	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1415808	6734	287816	0		20160507	121	SCAP	SCAP	UniProtKB	F8WDP3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	163168944	6734	287816	0		20160507	121	SCAP	SCAP	UniProtKB	F8WDP3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1416045	6734	287920	0		20160507	121	SCAP	SCAP	UniProtKB	F8WEH8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	163169256	6734	287920	0		20160507	121	SCAP	SCAP	UniProtKB	F8WEH8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1431770	6734	293807	0		20160507	307	INSIG1	INSIG1	UniProtKB	H7C5L3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	177138040	6734	293807	0		20160507	121	INSIG1	INSIG1	UniProtKB	H7C5L3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	177138041	6734	293807	0		20160507	307	INSIG1	INSIG1	UniProtKB	H7C5L3	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1440935	6734	297179	0		20160507	121	LIPE	LIPE	UniProtKB	M0QXB1	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	199596090	6734	297179	0		20160507	121	LIPE	LIPE	UniProtKB	M0QXB1	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1441087	6734	297230	0		20160507	121	LIPE	LIPE	UniProtKB	M0QXM5	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	199596281	6734	297230	0		20160507	121	LIPE	LIPE	UniProtKB	M0QXM5	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1441489	6734	297390	0		20160507	121	LIPE	LIPE	UniProtKB	M0QYP8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	199596747	6734	297390	0		20160507	121	LIPE	LIPE	UniProtKB	M0QYP8	Homo	sapiens	9606	human
cholesterol metabolic process	GO:0008203	biological_process	1443107	6734	297983	0		20160507	121	LIPE	LIPE	UniProtKB	M0R2G1	Homo	sapiens	9606	human
