superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
cholesterol transport	GO:0030301	biological_process	1386522	17287	277433	0		20160507	121	ABCA1	ABCA1	UniProtKB	B1AMI2	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1386524	22421	277433	0		20160507	121	ABCA1	ABCA1	UniProtKB	B1AMI2	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	124909014	17287	277433	0		20160507	121	ABCA1	ABCA1	UniProtKB	B1AMI2	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	124909016	22421	277433	0		20160507	121	ABCA1	ABCA1	UniProtKB	B1AMI2	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1388000	9296	277903	0		20160507	68	NR1H3	NR1H3	UniProtKB	B4DXU5	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1388000	9296	277903	0		20160507	68	NR1H3	NR1H3	UniProtKB	B4DXU5	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	127585086	9296	277903	0		20160507	68	NR1H3	NR1H3	UniProtKB	B4DXU5	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	127585086	9296	277903	0		20160507	68	NR1H3	NR1H3	UniProtKB	B4DXU5	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1399775	14416	282156	0		20160507	96	STAR	STAR	UniProtKB	E5RH12	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	152407283	14416	282156	0		20160507	96	STAR	STAR	UniProtKB	E5RH12	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1410358	22421	285838	0		20160507	68	HNF1A	HNF1A	UniProtKB	F5H0K0	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	159527471	22421	285838	0		20160507	68	HNF1A	HNF1A	UniProtKB	F5H0K0	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1421559	14416	289913	0		20160507	96	STAR	STAR	UniProtKB	H0YB94	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	173299964	14416	289913	0		20160507	96	STAR	STAR	UniProtKB	H0YB94	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1427515	22421	292176	0		20160507	121	CETP	CETP	UniProtKB	H3BRJ9	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	175352775	22421	292176	0		20160507	121	CETP	CETP	UniProtKB	H3BRJ9	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1451756	14416	298548	0		20120711	307	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1451759	17287	298548	0		20091124	15	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208080679	14416	298548	0		20120711	307	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208080683	17287	298548	0		20160507	68	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208080684	17287	298548	0		20091124	15	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256378338	14416	298548	0		20120711	307	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256378340	17287	298548	0		20091124	15	NPC1	NPC1	UniProtKB	O15118	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1454203	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1454203	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208084403	35678	298676	0		20160507	68	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208084403	35678	298676	0		20160507	68	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208084404	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208084404	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256380292	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256380292	35678	298676	0		20110504	15	PLA2G10	PLA2G10	UniProtKB	O15496	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1457695	35429	298844	0		20160304	307	SYT7	SYT7	UniProtKB	O43581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208207980	35429	298844	0		20160304	307	SYT7	SYT7	UniProtKB	O43581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	256386095	35429	298844	0		20160304	307	SYT7	SYT7	UniProtKB	O43581	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1465324	14416	299293	0		20160507	68	VPS4B	VPS4B	UniProtKB	O75351	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	208339784	14416	299293	0		20160507	68	VPS4B	VPS4B	UniProtKB	O75351	Homo	sapiens	9606	human
cholesterol transport	GO:0030301	biological_process	1466972	35428	299385	0		20110722	93	LRP6	LRP6	UniProtKB	O75581	Homo	sapiens	9606	human
