superterm_name	superterm_acc	superterm_type	id	term_id	gene_product_id	is_not	role_group	assocdate	source_db_id	gp_symbol	gp_full_name	gp_dbname	gp_acc	genus	species	ncbi_taxa_id	common_name
protein-lipid complex subunit organization	GO:0071825	biological_process	1446189	31068	298269	0		20140314	5	BIN1	BIN1	UniProtKB	O00499	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208022597	31068	298269	0		20140314	5	BIN1	BIN1	UniProtKB	O00499	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	256372140	31068	298269	0		20140314	5	BIN1	BIN1	UniProtKB	O00499	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	1468345	18318	299480	0		20090209	15	DGAT1	DGAT1	UniProtKB	O75907	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208344420	18318	299480	0		20090209	15	DGAT1	DGAT1	UniProtKB	O75907	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	256399067	18318	299480	0		20090209	15	DGAT1	DGAT1	UniProtKB	O75907	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	1468363	18318	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208344455	18318	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	256399081	18318	299481	0		20090209	15	SOAT2	SOAT2	UniProtKB	O75908	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	1472983	18314	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	1472984	18319	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208435913	18314	299789	0		20160507	68	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208435914	18314	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208435915	18319	299789	0		20160507	68	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	208435916	18319	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	256405053	18314	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
protein-lipid complex subunit organization	GO:0071825	biological_process	256405054	18319	299789	0		20090507	15	APOM	APOM	UniProtKB	O95445	Homo	sapiens	9606	human
